===== Q1 =====
1. DocID: 68292 | Score: 0.7804
2. DocID: 4557 | Score: 0.7640
3. DocID: 30635 | Score: 0.7559
4. DocID: 43922 | Score: 0.7472
5. DocID: 46220 | Score: 0.7454
6. DocID: 78076 | Score: 0.7440
7. DocID: 83259 | Score: 0.7434
8. DocID: 23980 | Score: 0.7410
9. DocID: 50584 | Score: 0.7400
10. DocID: 78567 | Score: 0.7380

===== Q10 =====
1. DocID: 71338 | Score: 0.6731
2. DocID: 41234 | Score: 0.6325
3. DocID: 72916 | Score: 0.6139
4. DocID: 75694 | Score: 0.6113
5. DocID: 32703 | Score: 0.6101
6. DocID: 81514 | Score: 0.6027
7. DocID: 73660 | Score: 0.6009
8. DocID: 98194 | Score: 0.5969
9. DocID: 73444 | Score: 0.5936
10. DocID: 8410 | Score: 0.5929

===== Q2 =====
1. DocID: 45942 | Score: 0.8001
2. DocID: 8578 | Score: 0.7791
3. DocID: 6165 | Score: 0.7717
4. DocID: 89696 | Score: 0.7587
5. DocID: 42547 | Score: 0.7569
6. DocID: 37261 | Score: 0.7532
7. DocID: 85451 | Score: 0.7512
8. DocID: 38786 | Score: 0.7498
9. DocID: 30520 | Score: 0.7433
10. DocID: 19831 | Score: 0.7383

===== Q3 =====
1. DocID: 76809 | Score: 0.7571
2. DocID: 56308 | Score: 0.7257
3. DocID: 86366 | Score: 0.7217
4. DocID: 45525 | Score: 0.7196
5. DocID: 43664 | Score: 0.7137
6. DocID: 72638 | Score: 0.7123
7. DocID: 7741 | Score: 0.7114
8. DocID: 41261 | Score: 0.7037
9. DocID: 41017 | Score: 0.7019
10. DocID: 59687 | Score: 0.7014

===== Q4 =====
1. DocID: 42235 | Score: 0.8289
2. DocID: 93237 | Score: 0.8194
3. DocID: 89150 | Score: 0.7998
4. DocID: 75100 | Score: 0.7944
5. DocID: 71176 | Score: 0.7860
6. DocID: 43302 | Score: 0.7845
7. DocID: 41745 | Score: 0.7755
8. DocID: 59124 | Score: 0.7690
9. DocID: 64691 | Score: 0.7618
10. DocID: 16252 | Score: 0.7555

===== Q5 =====
1. DocID: 52175 | Score: 0.8027
2. DocID: 50118 | Score: 0.7324
3. DocID: 32171 | Score: 0.7253
4. DocID: 31403 | Score: 0.7240
5. DocID: 4972 | Score: 0.7088
6. DocID: 4697 | Score: 0.7009
7. DocID: 5428 | Score: 0.6897
8. DocID: 25018 | Score: 0.6896
9. DocID: 43579 | Score: 0.6894
10. DocID: 82574 | Score: 0.6854

===== Q6 =====
1. DocID: 75936 | Score: 0.7883
2. DocID: 14594 | Score: 0.7827
3. DocID: 80815 | Score: 0.7815
4. DocID: 55862 | Score: 0.7784
5. DocID: 51271 | Score: 0.7713
6. DocID: 24820 | Score: 0.7704
7. DocID: 26398 | Score: 0.7693
8. DocID: 90706 | Score: 0.7653
9. DocID: 84024 | Score: 0.7623
10. DocID: 68440 | Score: 0.7597

===== Q7 =====
1. DocID: 8578 | Score: 0.7655
2. DocID: 38786 | Score: 0.7647
3. DocID: 42547 | Score: 0.7433
4. DocID: 45942 | Score: 0.7300
5. DocID: 42846 | Score: 0.7268
6. DocID: 30044 | Score: 0.7163
7. DocID: 52624 | Score: 0.7146
8. DocID: 99027 | Score: 0.7130
9. DocID: 85451 | Score: 0.7128
10. DocID: 79789 | Score: 0.7117

===== Q8 =====
1. DocID: 16078 | Score: 0.7643
2. DocID: 76809 | Score: 0.7214
3. DocID: 72638 | Score: 0.7198
4. DocID: 63896 | Score: 0.6921
5. DocID: 45525 | Score: 0.6918
6. DocID: 56087 | Score: 0.6898
7. DocID: 31150 | Score: 0.6888
8. DocID: 40778 | Score: 0.6830
9. DocID: 76135 | Score: 0.6788
10. DocID: 99265 | Score: 0.6778

===== Q9 =====
1. DocID: 93237 | Score: 0.8148
2. DocID: 43302 | Score: 0.7952
3. DocID: 75100 | Score: 0.7926
4. DocID: 42235 | Score: 0.7791
5. DocID: 5295 | Score: 0.7771
6. DocID: 89150 | Score: 0.7725
7. DocID: 86855 | Score: 0.7681
8. DocID: 30807 | Score: 0.7679
9. DocID: 99180 | Score: 0.7658
10. DocID: 57784 | Score: 0.7621

