qid,query,doc_id,rating,sentiment,sources,ranks,label,is_random,text
Q1,cheap sushi near me,1886,5.0,positive,BM25;RRF;TFIDF;TRANSFORMER,"{""BM25"": 3, ""RRF"": 1, ""TFIDF"": 1, ""TRANSFORMER"": 1}",3,0,This is my go to sushi place. it's cheap and the rolls are AMAZING. if you want a new sushi place to try i highly recommend osaka
Q1,cheap sushi near me,442,3.0,neutral,BM25;RRF;TFIDF;TRANSFORMER,"{""BM25"": 5, ""RRF"": 8, ""TFIDF"": 2, ""TRANSFORMER"": 6}",3,0,"Not the best prepared sushi inthe city by a longshot, but for quick (and I mean quick), cheap sushi with a long menu, Mixx is great."
Q1,cheap sushi near me,4557,2.0,negative,BM25;RRF;TFIDF;TRANSFORMER,"{""BM25"": 2, ""RRF"": 2, ""TFIDF"": 3, ""TRANSFORMER"": 2}",3,0,"Maybe I just tried this place when they were having a bad day or perhaps I ordered the one bad menu choice. Whichever was true, I was completely disappointed in the food. The green corn tamale was solid masa, no cheese or corn in sight. The beef taco was flavorless and the taco shell was soggy and fell apart with the first bite. With an order of average guacamole and chips, my bill was over ten dollars and I had to pick up at the counter and eat out of a styrofoam carry out box. Even their famous tortilla was uninspiring, served in a plastic bag, wrapped around a plastic fork. There are many other places in Tucson for good Mexican food. Sorry that I can't say this is one of them."
Q1,cheap sushi near me,50584,4.0,positive,BM25;RRF;TFIDF,"{""BM25"": 1, ""RRF"": 1, ""TFIDF"": 1}",3,0,"Boyfriend and I went on Halloween night, hoping restaurant would not be packed, and luckily that was the case - they were about 80% full the entire time we were there.  Service was excellent and we felt all the food came out at appropriate times.  They have a huge whiskey selection and a large selection of sodas, some housemade.  Their beer selection, however, is small and odd.  I ordered a Ward 8, one of their whiskey cocktails, and loved it.  Boyfriend was excited to see Busch beer on the menu, until they told him it was in cans, so he ended up just drinking iced tea.  We started with the Biscuits and Breads $8 appetizer, which consisted of one of each of the following: a fluffy biscuit, a flat biscuit, a square of Yankee cornbread, and a wedge of traditional cornbread.  The traditional cornbread was our fav.  You then select 3 of the butters/spreads from the list - we selected the molasses-pecan butter, burnt orange marmalade, and strawberry-blueberry jam - liked them all but the jam was the best.  It was great for 2 people to share, and would also be easy for 3-4 people to share as each person would still get at least 1 bite of everything.  We ordered the whole fried chicken, planning to take some home.  The pieces were large and cooked perfectly.  The breasts are boneless and cut in half.  It is heavily seasoned, which we liked.  They have hot sauce on the table, but we didn't use it.  The whole chicken is expensive at $34, but they are large, antibiotic and hormone free, raised humanely, etc, so I'm not surprised by the price.  We ordered 2 sides - the Jailhouse Cole Slaw and the Mashed Potatoes and Gravy.  We liked them both and they were perfect for 2 people to share.  We did think they were overpriced, based on the serving size.  I'd suggest they increase the serving size a bit or reduce the price.  There are two individual restrooms, both unisex, which is much appreciated by me.  Neither had a mirror though, I'm assuming they just haven't been installed yet.  It was an expensive fried chicken meal - $70 for two people, including one drink, before tip.  As much as we liked it, it will just be a special occasion fried chicken place for us, probably only going once a year, due to the cost.    Things that would have made this a 5-star review:  better beer selection, cheaper sides (maybe cheaper prices in general)."
Q1,cheap sushi near me,564,5.0,positive,BM25;TFIDF;TRANSFORMER,"{""BM25"": 14, ""TFIDF"": 2, ""TRANSFORMER"": 2}",3,0,Excellent price for sushi and I love their specialties sushi menu. Snow mountain and Volcano sushi are remarkable sushi!
Q1,cheap sushi near me,83259,4.0,positive,RRF;TFIDF;TRANSFORMER,"{""RRF"": 3, ""TFIDF"": 9, ""TRANSFORMER"": 2}",3,0,"A hidden gem in Philadelphia that I always recommend for brunch.  Yes, you will wait for a table - unless you are like me and my mates who roll in an hour before they close (which is at 3 on weekends). But the food is totally worth it, there is outdoor seating in the back, and the staff is made up of some of the friendliest people. But like I said, it's all about the food. Order the sweet potato fries and share them as an appetizer, try a milkshake, and treat yourself to anything off the menu (grilled cheese, breakfast sandwiches, avocado stuffed onto a BLT). The list goes on.  Cheap, pay-in-cash-only, and absolutely charming!"
Q1,cheap sushi near me,48232,5.0,positive,BM25;RRF;TFIDF,"{""BM25"": 3, ""RRF"": 4, ""TFIDF"": 5}",3,0,Such great food and bartender Joe is awesome!!!   Must is their She Crab Bisque. Makes you glow
Q1,cheap sushi near me,51271,2.0,negative,BM25;RRF;TFIDF,"{""BM25"": 5, ""RRF"": 4, ""TFIDF"": 7}",3,0,Nope. Sides were fairly good but you're going for the hot chicken. Very generous portion of chicken but the breading was sooooo thick it wouldn't adhere when the chicken is cut. The breading (got a 2) was completely flavorless. Since it just fell off when cut and the taste wasn't worth it all the breading stayed in my basket. Waste of money.
Q1,cheap sushi near me,55074,3.0,neutral,BM25;RRF;TFIDF,"{""BM25"": 4, ""RRF"": 5, ""TFIDF"": 5}",3,0,"I really expected this place to be overwhelming in a good way because of the reviews, but I was extremely disappointed. When you first walk in, it looks like something between an antique store and an old library. This bookstore was downright claustrophobic, and super difficult to get through anywhere. I felt like I was cooped up in a little maze. I thought I'd feel a little better after looking at prices, but they're really only half the original price (with some exceptions, some hardbacks were the same price as paperbacks!) They had an incredible amount of books that they had to cramp into a pretty big space.  However, they were mostly disorganized on the first floor -- around which genres I can't even tell you because it was just a mess -- where they had VHS tapes, records and then some. Their second floor was a lot less claustrophobic albeit not that much more organized. They had their alphabets labeled, but it was still difficult to find because it was literally a tiny piece of paper sticking out of the shelf. Every few shelves or so, you'll see books piled on the floor.   This time round, I was looking for the latest installments of popular book titles and found that they didn't have them, which was a little disappointing, but not altogether unbelievable. What I did notice was that they had a wide variety of categories spread across their second floor with a decent amount of books to each category -- shelves reaching up way higher that I could reach. But even then, I probably wouldn't venture another visit here just because of how difficult it is to find anything."
Q1,cheap sushi near me,23980,3.0,neutral,BM25;RRF;TFIDF,"{""BM25"": 6, ""RRF"": 7, ""TFIDF"": 9}",3,0,"Worst service I have EVER received, we had alarge party and they were rude from the start!  Ride about our orders, rolling eyes and huffing.  Bearded, shirt skinny server was worse in my life!  Made everyone uncomfortable!  Mentioned to another host? Who came by our table and she was rude too!  Food and drinks may be great at happy hour but not worth the terrible service!  Only place in NOLA that hasn't been hospitable!   Server came back and apologized for his rudeness!  Shocking moves up from 1 to 3, still unhappy he ruined my experience.  Even though we appreciate the apology very much!"
